numberOfNodes,numberOfOperations
970,4718087
971,4727806
972,4737535
973,4747274
974,4757023
975,4766782
976,4776551
977,4786330
978,4796119
979,4805918
980,4815727
981,4825546
982,4835375
983,4845214
984,4855063
985,4864922
986,4874791
987,4884670
988,4894559
989,4904458
990,4914367
991,4924286
992,4934215
993,4944154
994,4954103
995,4964062
996,4974031
997,4984010
998,4993999
999,5003998
1000,5014007
1001,5024026
1002,5034055
1003,5044094
1004,5054143
1005,5064202
1006,5074271
1007,5084350
1008,5094439
1009,5104538
1010,5114647
1011,5124766
1012,5134895
1013,5145034
1014,5155183
1015,5165342
1016,5175511
1017,5185690
1018,5195879
1019,5206078
1020,5216287
1021,5226506
1022,5236735
1023,5246974
1024,5257223
1025,5267482
1026,5277751
1027,5288030
1028,5298319
1029,5308618
1030,5318927
1031,5329246
1032,5339575
1033,5349914
1034,5360263
1035,5370622
1036,5380991
1037,5391370
1038,5401759
1039,5412158
1040,5422567
1041,5432986
1042,5443415
1043,5453854
1044,5464303
1045,5474762
1046,5485231
1047,5495710
1048,5506199
1049,5516698
1050,5527207
1051,5537726
1052,5548255
1053,5558794
1054,5569343
1055,5579902
1056,5590471
1057,5601050
1058,5611639
1059,5622238
1060,5632847
1061,5643466
1062,5654095
1063,5664734
1064,5675383
1065,5686042
1066,5696711
1067,5707390
1068,5718079
1069,5728778
1070,5739487
1071,5750206
1072,5760935
1073,5771674
1074,5782423
1075,5793182
1076,5803951
1077,5814730
1078,5825519
1079,5836318
1080,5847127
1081,5857946
1082,5868775
1083,5879614
1084,5890463
1085,5901322
1086,5912191
1087,5923070
1088,5933959
1089,5944858
1090,5955767
1091,5966686
1092,5977615
1093,5988554
1094,5999503
1095,6010462
1096,6021431
1097,6032410
1098,6043399
1099,6054398
1100,6065407
1101,6076426
1102,6087455
1103,6098494
1104,6109543
1105,6120602
1106,6131671
1107,6142750
1108,6153839
1109,6164938
1110,6176047
1111,6187166
1112,6198295
1113,6209434
1114,6220583
1115,6231742
1116,6242911
1117,6254090
1118,6265279
1119,6276478
1120,6287687
1121,6298906
1122,6310135
1123,6321374
1124,6332623
1125,6343882
1126,6355151
1127,6366430
1128,6377719
1129,6389018
1130,6400327
1131,6411646
1132,6422975
1133,6434314
1134,6445663
1135,6457022
1136,6468391
1137,6479770
1138,6491159
1139,6502558
1140,6513967
1141,6525386
1142,6536815
1143,6548254
1144,6559703
1145,6571162
1146,6582631
1147,6594110
1148,6605599
1149,6617098
1150,6628607
1151,6640126
1152,6651655
1153,6663194
1154,6674743
1155,6686302
1156,6697871
1157,6709450
1158,6721039
1159,6732638
1160,6744247
1161,6755866
1162,6767495
1163,6779134
1164,6790783
1165,6802442
1166,6814111
1167,6825790
1168,6837479
1169,6849178
1170,6860887
1171,6872606
1172,6884335
1173,6896074
1174,6907823
1175,6919582
1176,6931351
1177,6943130
1178,6954919
1179,6966718
1180,6978527
1181,6990346
1182,7002175
1183,7014014
1184,7025863
1185,7037722
1186,7049591
1187,7061470
1188,7073359
1189,7085258
1190,7097167
1191,7109086
1192,7121015
1193,7132954
1194,7144903
1195,7156862
1196,7168831
1197,7180810
1198,7192799
1199,7204798
1200,7216807
1201,7228826
1202,7240855
1203,7252894
1204,7264943
1205,7277002
1206,7289071
1207,7301150
1208,7313239
1209,7325338
1210,7337447
1211,7349566
1212,7361695
1213,7373834
1214,7385983
1215,7398142
1216,7410311
1217,7422490
1218,7434679
1219,7446878
1220,7459087
1221,7471306
1222,7483535
1223,7495774
1224,7508023
1225,7520282
1226,7532551
1227,7544830
1228,7557119
1229,7569418
1230,7581727
1231,7594046
1232,7606375
1233,7618714
1234,7631063
1235,7643422
1236,7655791
1237,7668170
1238,7680559
1239,7692958
1240,7705367
1241,7717786
1242,7730215
1243,7742654
1244,7755103
1245,7767562
1246,7780031
1247,7792510
1248,7804999
1249,7817498
1250,7830007
1251,7842526
1252,7855055
1253,7867594
1254,7880143
1255,7892702
1256,7905271
1257,7917850
1258,7930439
1259,7943038
1260,7955647
1261,7968266
1262,7980895
1263,7993534
1264,8006183
1265,8018842
1266,8031511
1267,8044190
1268,8056879
1269,8069578
1270,8082287
1271,8095006
1272,8107735
1273,8120474
1274,8133223
1275,8145982
1276,8158751
1277,8171530
1278,8184319
1279,8197118
1280,8209927
1281,8222746
1282,8235575
1283,8248414
1284,8261263
1285,8274122
1286,8286991
1287,8299870
1288,8312759
1289,8325658
1290,8338567
1291,8351486
1292,8364415
1293,8377354
1294,8390303
1295,8403262
1296,8416231
1297,8429210
1298,8442199
1299,8455198
1300,8468207
1301,8481226
1302,8494255
1303,8507294
1304,8520343
1305,8533402
1306,8546471
1307,8559550
1308,8572639
1309,8585738
1310,8598847
1311,8611966
1312,8625095
1313,8638234
1314,8651383
1315,8664542
1316,8677711
1317,8690890
1318,8704079
1319,8717278
1320,8730487
1321,8743706
1322,8756935
1323,8770174
1324,8783423
1325,8796682
1326,8809951
1327,8823230
1328,8836519
1329,8849818
1330,8863127
1331,8876446
1332,8889775
1333,8903114
1334,8916463
1335,8929822
1336,8943191
1337,8956570
1338,8969959
1339,8983358
1340,8996767
1341,9010186
1342,9023615
1343,9037054
1344,9050503
1345,9063962
1346,9077431
1347,9090910
1348,9104399
1349,9117898
1350,9131407
1351,9144926
1352,9158455
1353,9171994
1354,9185543
1355,9199102
1356,9212671
1357,9226250
1358,9239839
1359,9253438
1360,9267047
1361,9280666
1362,9294295
1363,9307934
1364,9321583
1365,9335242
1366,9348911
1367,9362590
1368,9376279
1369,9389978
1370,9403687
1371,9417406
1372,9431135
1373,9444874
1374,9458623
1375,9472382
1376,9486151
1377,9499930
1378,9513719
1379,9527518
1380,9541327
1381,9555146
1382,9568975
1383,9582814
1384,9596663
1385,9610522
1386,9624391
1387,9638270
1388,9652159
1389,9666058
1390,9679967
1391,9693886
1392,9707815
1393,9721754
1394,9735703
1395,9749662
1396,9763631
1397,9777610
1398,9791599
1399,9805598
1400,9819607
1401,9833626
1402,9847655
1403,9861694
1404,9875743
1405,9889802
1406,9903871
1407,9917950
1408,9932039
1409,9946138
1410,9960247
1411,9974366
1412,9988495
1413,10002634
1414,10016783
1415,10030942
1416,10045111
1417,10059290
1418,10073479
1419,10087678
1420,10101887
1421,10116106
1422,10130335
1423,10144574
1424,10158823
1425,10173082
1426,10187351
1427,10201630
1428,10215919
1429,10230218
1430,10244527
1431,10258846
1432,10273175
1433,10287514
1434,10301863
1435,10316222
1436,10330591
1437,10344970
1438,10359359
1439,10373758
1440,10388167
1441,10402586
1442,10417015
1443,10431454
1444,10445903
1445,10460362
1446,10474831
1447,10489310
1448,10503799
1449,10518298
1450,10532807
1451,10547326
1452,10561855
1453,10576394
1454,10590943
1455,10605502
1456,10620071
1457,10634650
1458,10649239
1459,10663838
1460,10678447
1461,10693066
1462,10707695
1463,10722334
1464,10736983
1465,10751642
1466,10766311
1467,10780990
1468,10795679
1469,10810378
1470,10825087
1471,10839806
1472,10854535
1473,10869274
1474,10884023
1475,10898782
1476,10913551
1477,10928330
1478,10943119
1479,10957918
1480,10972727
1481,10987546
1482,11002375
1483,11017214
1484,11032063
1485,11046922
1486,11061791
1487,11076670
1488,11091559
1489,11106458
1490,11121367
1491,11136286
1492,11151215
1493,11166154
1494,11181103
1495,11196062
1496,11211031
1497,11226010
1498,11240999
1499,11255998
1500,11271007
1501,11286026
1502,11301055
1503,11316094
1504,11331143
1505,11346202
1506,11361271
1507,11376350
1508,11391439
1509,11406538
1510,11421647
1511,11436766
1512,11451895
1513,11467034
1514,11482183
1515,11497342
1516,11512511
1517,11527690
1518,11542879
1519,11558078
1520,11573287
1521,11588506
1522,11603735
1523,11618974
1524,11634223
1525,11649482
1526,11664751
1527,11680030
1528,11695319
1529,11710618
1530,11725927
1531,11741246
1532,11756575
1533,11771914
1534,11787263
1535,11802622
1536,11817991
1537,11833370
1538,11848759
1539,11864158
1540,11879567
1541,11894986
1542,11910415
1543,11925854
1544,11941303
1545,11956762
1546,11972231
1547,11987710
1548,12003199
1549,12018698
1550,12034207
1551,12049726
1552,12065255
1553,12080794
1554,12096343
1555,12111902
1556,12127471
1557,12143050
1558,12158639
1559,12174238
1560,12189847
1561,12205466
1562,12221095
1563,12236734
1564,12252383
1565,12268042
1566,12283711
1567,12299390
1568,12315079
1569,12330778
1570,12346487
1571,12362206
1572,12377935
1573,12393674
1574,12409423
1575,12425182
1576,12440951
1577,12456730
1578,12472519
1579,12488318
1580,12504127
1581,12519946
1582,12535775
1583,12551614
1584,12567463
1585,12583322
1586,12599191
1587,12615070
1588,12630959
1589,12646858
1590,12662767
1591,12678686
1592,12694615
1593,12710554
1594,12726503
1595,12742462
1596,12758431
1597,12774410
1598,12790399
1599,12806398
1600,12822407
1601,12838426
1602,12854455
1603,12870494
1604,12886543
1605,12902602
1606,12918671
1607,12934750
1608,12950839
1609,12966938
1610,12983047
1611,12999166
1612,13015295
1613,13031434
1614,13047583
1615,13063742
1616,13079911
1617,13096090
1618,13112279
1619,13128478
1620,13144687
1621,13160906
1622,13177135
1623,13193374
1624,13209623
1625,13225882
1626,13242151
1627,13258430
1628,13274719
1629,13291018
1630,13307327
1631,13323646
1632,13339975
1633,13356314
1634,13372663
1635,13389022
1636,13405391
1637,13421770
1638,13438159
1639,13454558
1640,13470967
1641,13487386
1642,13503815
1643,13520254
1644,13536703
1645,13553162
1646,13569631
1647,13586110
1648,13602599
1649,13619098
1650,13635607
1651,13652126
1652,13668655
1653,13685194
1654,13701743
1655,13718302
1656,13734871
1657,13751450
1658,13768039
1659,13784638
1660,13801247
1661,13817866
1662,13834495
1663,13851134
1664,13867783
1665,13884442
1666,13901111
1667,13917790
1668,13934479
1669,13951178
1670,13967887
